name,rating,review_count,address,cuisine,price,yelp_url
Panera Bread,2.9,205,"609 3rd St, Davis, CA 95616","['Sandwiches', 'Salad', 'Soup']",$,https://www.yelp.com/biz/CW_DCl2bRlsLVgliFFiBDw
Calzone Life,2.0,2,"505 L St, Davis, CA 95616","['Food Delivery Services', 'Italian', 'Pizza']",Unknown,https://www.yelp.com/biz/RxrTvpwmy53pyMAFX-5wRg
Panda Express,2.4,148,"1491 W Covell Blvd, Davis, CA 95616","['Chinese', 'Fast Food']",$,https://www.yelp.com/biz/T0SSP5lUL7dJXmNB-xthQQ
Segundo Dining Commons,3.7,53,"470 La Rue Rd, Davis, CA 95616",['Cafeteria'],$,https://www.yelp.com/biz/zXhJuVBbCvRbr_vu8NgoEg
Mountain Mike's Pizza,3.8,71,"1411 W Covell Blvd, Ste 111, Davis, CA 95616","['Pizza', 'Chicken Wings']",$$,https://www.yelp.com/biz/LV5SajSnUNYNPiyEfvwXpA
Spokes Grill,3.4,9,"420 Hutchison Dr, Davis, CA 95616","['Burgers', 'Fast Food', 'Bubble Tea']",Unknown,https://www.yelp.com/biz/cui5_dL70j3PywSg9SNc3A
Cuarto Dining Commons,4.1,18,"550 Oxford Cir, Davis, CA 95616","['Buffets', 'Cafeteria']",$,https://www.yelp.com/biz/AkSKpclvlkO31cZK9IA0mQ
Noah's NY Bagels,2.6,247,"1411 W Covell Blvd, Ste 114a, Davis, CA 95616","['Bagels', 'Breakfast & Brunch', 'Sandwiches']",$$,https://www.yelp.com/biz/M-dEjIMYZZa3kBd5JdYLMg
Nugget Markets,4.3,154,"409 Mace Blvd, Davis, CA 95618","['Grocery', 'Fruits & Veggies', 'Sandwiches']",$$,https://www.yelp.com/biz/G1EXec0C_Mu6Vs0fclc2sQ
Cafe 110,2.5,8,"110 F St, Davis, CA 95616","['American', 'Coffee & Tea']",$,https://www.yelp.com/biz/Tx2tkq6tJ4CHQI747Gjglg
